date,area,fips,area_type,population,per100k,cases,cumulative_cases,casesper100,total_tests,cumulative_total_tests,cmlper100,positive_tests,cumulative_positive_tests,cptper100,reported_cases,rptper100,cumulative_reported_cases,cumper100,reported_deaths,cumulative_reported_deaths
4/8/2020,Placer,06061,County,400434,4,5,141,35,124,2850,713,2,134,34,8,2,102,26,1,4
4/8/2020,Plumas,06063,County,18997,0,0,4,4,17,275,275,0,4,4,0,0,3,3,0,0
4/8/2020,Riverside,06065,County,2468145,25,156,2189,88,1658,21120,845,158,1929,77,69,3,974,39,3,28
4/8/2020,Sacramento,06067,County,1567975,16,30,844,53,573,11056,691,42,786,49,52,3,565,35,3,21
4/8/2020,San Benito,06069,County,64022,1,2,39,39,33,538,538,2,50,50,5,5,31,31,0,2
4/8/2020,San Bernardino,06071,County,2217398,22,68,1228,56,731,11694,532,90,1201,55,81,4,635,29,3,22
4/8/2020,San Diego,06073,County,3370418,34,77,2149,63,723,20775,611,63,2021,59,76,2,1532,45,5,36
4/8/2020,San Francisco,06075,County,892280,9,60,1046,116,368,5349,594,65,1007,112,51,6,687,76,1,7
4/8/2020,San Joaquin,06077,County,782545,8,18,363,45,161,4133,517,16,322,40,13,2,211,26,0,12
4/8/2020,San Luis Obispo,06079,County,278862,3,5,134,45,191,1917,639,7,145,48,3,1,90,30,0,1
4/8/2020,San Mateo,06081,County,778001,8,21,887,111,348,7568,946,19,1101,138,35,4,608,76,0,22
4/8/2020,Santa Barbara,06083,County,456373,5,15,377,75,258,3248,650,28,377,75,12,2,221,44,0,2
4/8/2020,Santa Clara,06085,County,1967585,20,70,1796,90,694,15780,789,93,2076,104,64,3,1257,63,1,47
4/8/2020,Santa Cruz,06087,County,273999,3,0,97,32,89,2208,736,1,112,37,2,1,69,23,0,1
4/8/2020,Shasta,06089,County,177925,2,1,30,15,62,1044,522,0,54,27,2,1,18,9,0,3
4/8/2020,Sierra,06091,County,3115,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0
4/8/2020,Siskiyou,06093,County,43956,0,0,5,5,16,231,231,0,11,11,0,0,4,4,0,0
4/8/2020,Solano,06095,County,444255,4,5,176,44,160,2680,670,13,129,32,12,3,111,28,1,2
4/8/2020,Sonoma,06097,County,496668,5,3,174,35,203,4123,825,5,175,35,5,1,107,21,0,1
4/8/2020,Stanislaus,06099,County,562303,6,17,205,34,156,2780,463,15,175,29,3,1,86,14,0,0
4/8/2020,Sutter,06101,County,105747,1,0,22,22,23,436,436,0,18,18,1,1,17,17,0,2
4/8/2020,Tehama,06103,County,65885,1,0,1,1,7,207,207,0,4,4,0,0,1,1,0,0
4/8/2020,Trinity,06105,County,13354,0,0,0,0,3,91,91,0,0,0,0,0,0,0,0,0
4/8/2020,Tulare,06107,County,484423,5,27,297,59,94,1766,353,14,194,39,1,0,145,29,1,6
4/8/2020,Tuolumne,06109,County,52351,1,0,2,2,12,491,491,0,2,2,-1,-1,0,0,0,0
4/8/2020,Ventura,06111,County,852747,9,17,423,47,303,7327,814,22,423,47,16,2,263,29,1,7
4/8/2020,Yolo,06113,County,223612,2,7,103,52,84,1229,615,4,98,49,5,3,56,28,1,3
4/8/2020,Yuba,06115,County,79290,1,0,14,14,17,369,369,0,7,7,0,0,10,10,0,0
4/15/2020,Alameda,06001,County,1685886,17,45,1309,77,546,14340,844,42,1157,68,72,4,915,54,8,38
4/15/2020,Alpine,06003,County,1117,0,0,1,1,0,10,10,0,1,1,0,0,1,1,0,0
4/15/2020,Amador,06005,County,38531,0,0,7,7,8,308,308,0,8,8,1,1,7,7,0,0
